phi0,phi1,Wersja ADF,Średnia p-value,Mediana p-value,Odch. std. p-value,Odsetek odrzuceń H0 (%)
0.0,-0.9,n,0.6843,0.6843,0.0000,0.00
0.0,-0.9,c,0.3272,0.0881,0.3855,47.40
0.0,-0.9,ct,0.2879,0.0589,0.3639,49.30
0.0,-0.5,n,0.6843,0.6843,0.0000,0.00
0.0,-0.5,c,0.3188,0.0655,0.3860,48.40
0.0,-0.5,ct,0.2719,0.0623,0.3480,48.60
0.0,-0.1,n,0.6843,0.6843,0.0000,0.00
0.0,-0.1,c,0.3154,0.0658,0.3840,48.60
0.0,-0.1,ct,0.3033,0.1113,0.3604,43.30
0.0,0.0,n,0.6843,0.6843,0.0000,0.00
0.0,0.0,c,0.3309,0.1038,0.3832,46.50
0.0,0.0,ct,0.3199,0.1335,0.3628,39.90
0.0,0.1,n,0.6843,0.6843,0.0000,0.00
0.0,0.1,c,0.3347,0.0989,0.3872,45.00
0.0,0.1,ct,0.3109,0.1369,0.3550,39.90
0.0,0.5,n,0.6843,0.6843,0.0000,0.00
0.0,0.5,c,0.3661,0.1910,0.3833,35.90
0.0,0.5,ct,0.3514,0.2068,0.3619,32.50
0.0,0.9,n,0.6843,0.6843,0.0000,0.00
0.0,0.9,c,0.4446,0.3918,0.3860,28.30
0.0,0.9,ct,0.4708,0.4372,0.3820,22.50
1.0,-0.9,n,0.6843,0.6843,0.0000,0.00
1.0,-0.9,c,0.3062,0.0505,0.3768,50.00
1.0,-0.9,ct,0.3105,0.0944,0.3711,46.40
1.0,-0.5,n,0.6843,0.6843,0.0000,0.00
1.0,-0.5,c,0.3259,0.0882,0.3874,47.60
1.0,-0.5,ct,0.3013,0.0874,0.3674,46.50
1.0,-0.1,n,0.6843,0.6843,0.0000,0.00
1.0,-0.1,c,0.3234,0.0957,0.3870,46.60
1.0,-0.1,ct,0.3121,0.1367,0.3573,42.00
1.0,0.0,n,0.6843,0.6843,0.0000,0.00
1.0,0.0,c,0.3270,0.1017,0.3795,44.40
1.0,0.0,ct,0.3112,0.1340,0.3600,42.00
1.0,0.1,n,0.6843,0.6843,0.0000,0.00
1.0,0.1,c,0.3343,0.1211,0.3832,44.30
1.0,0.1,ct,0.3136,0.1367,0.3571,39.00
1.0,0.5,n,0.6843,0.6843,0.0000,0.00
1.0,0.5,c,0.3684,0.2011,0.3759,33.60
1.0,0.5,ct,0.3958,0.2730,0.3680,27.30
1.0,0.9,n,0.6843,0.6843,0.0000,0.00
1.0,0.9,c,0.4429,0.3594,0.3843,25.70
1.0,0.9,ct,0.4780,0.4397,0.3706,19.50
5.0,-0.9,n,0.6843,0.6843,0.0000,0.00
5.0,-0.9,c,0.3042,0.0478,0.3783,50.20
5.0,-0.9,ct,0.3104,0.0862,0.3711,46.40
5.0,-0.5,n,0.6843,0.6843,0.0000,0.00
5.0,-0.5,c,0.2903,0.0436,0.3693,50.60
5.0,-0.5,ct,0.2837,0.0816,0.3500,47.00
5.0,-0.1,n,0.6843,0.6843,0.0000,0.00
5.0,-0.1,c,0.3238,0.1014,0.3800,45.10
5.0,-0.1,ct,0.3127,0.1192,0.3615,43.10
5.0,0.0,n,0.6843,0.6843,0.0000,0.00
5.0,0.0,c,0.3263,0.1095,0.3781,44.80
5.0,0.0,ct,0.3081,0.1165,0.3587,42.20
5.0,0.1,n,0.6843,0.6843,0.0000,0.00
5.0,0.1,c,0.3488,0.1257,0.3949,45.50
5.0,0.1,ct,0.3325,0.1576,0.3648,39.50
5.0,0.5,n,0.6843,0.6843,0.0000,0.00
5.0,0.5,c,0.3730,0.2205,0.3794,33.60
5.0,0.5,ct,0.3479,0.2334,0.3484,30.20
5.0,0.9,n,0.6843,0.6843,0.0000,0.00
5.0,0.9,c,0.4582,0.4183,0.3773,23.90
5.0,0.9,ct,0.4783,0.4485,0.3749,20.70
10.0,-0.9,n,0.6843,0.6843,0.0000,0.00
10.0,-0.9,c,0.3229,0.0668,0.3863,48.40
10.0,-0.9,ct,0.2927,0.0901,0.3563,46.60
10.0,-0.5,n,0.6843,0.6843,0.0000,0.00
10.0,-0.5,c,0.2853,0.0290,0.3742,52.40
10.0,-0.5,ct,0.2938,0.0820,0.3575,46.40
10.0,-0.1,n,0.6843,0.6843,0.0000,0.00
10.0,-0.1,c,0.3078,0.0724,0.3732,47.70
10.0,-0.1,ct,0.3332,0.1682,0.3623,39.80
10.0,0.0,n,0.6843,0.6843,0.0000,0.00
10.0,0.0,c,0.3556,0.1643,0.3931,43.90
10.0,0.0,ct,0.3243,0.1574,0.3630,39.50
10.0,0.1,n,0.6843,0.6843,0.0000,0.00
10.0,0.1,c,0.3041,0.0632,0.3778,48.60
10.0,0.1,ct,0.3267,0.1520,0.3616,39.50
10.0,0.5,n,0.6843,0.6843,0.0000,0.00
10.0,0.5,c,0.3690,0.2082,0.3805,34.20
10.0,0.5,ct,0.3867,0.2820,0.3632,27.90
10.0,0.9,n,0.6843,0.6843,0.0000,0.00
10.0,0.9,c,0.4504,0.4029,0.3828,25.40
10.0,0.9,ct,0.4666,0.4337,0.3780,22.20
