phi0,phi1,Wersja ADF,Średnia p-value,Mediana p-value,Odch. std. p-value,Odsetek odrzuceń H0 (%)
0.0,-0.9,n,0.0010,0.0000,0.0111,99.40
0.0,-0.9,c,0.0037,0.0000,0.0356,98.40
0.0,-0.9,ct,0.0058,0.0000,0.0523,98.00
0.0,-0.5,n,0.0011,0.0000,0.0134,99.40
0.0,-0.5,c,0.0039,0.0000,0.0387,98.50
0.0,-0.5,ct,0.0064,0.0000,0.0532,97.50
0.0,-0.1,n,0.0005,0.0000,0.0056,99.80
0.0,-0.1,c,0.0026,0.0000,0.0209,98.50
0.0,-0.1,ct,0.0054,0.0000,0.0414,97.60
0.0,0.0,n,0.0012,0.0000,0.0189,99.60
0.0,0.0,c,0.0028,0.0000,0.0338,99.10
0.0,0.0,ct,0.0033,0.0000,0.0360,98.70
0.0,0.1,n,0.0011,0.0000,0.0124,99.40
0.0,0.1,c,0.0045,0.0000,0.0389,98.00
0.0,0.1,ct,0.0084,0.0000,0.0622,97.50
0.0,0.5,n,0.0018,0.0000,0.0182,99.30
0.0,0.5,c,0.0063,0.0000,0.0430,97.30
0.0,0.5,ct,0.0109,0.0000,0.0615,96.10
0.0,0.9,n,0.0357,0.0171,0.0536,78.20
0.0,0.9,c,0.1363,0.0840,0.1512,36.60
0.0,0.9,ct,0.2232,0.1548,0.2174,25.30
1.0,-0.9,n,0.2983,0.2933,0.1759,7.60
1.0,-0.9,c,0.0011,0.0000,0.0106,99.20
1.0,-0.9,ct,0.0022,0.0000,0.0215,98.90
1.0,-0.5,n,0.2992,0.2914,0.1756,9.10
1.0,-0.5,c,0.0025,0.0000,0.0216,98.60
1.0,-0.5,ct,0.0038,0.0000,0.0361,98.60
1.0,-0.1,n,0.2906,0.2831,0.1800,9.80
1.0,-0.1,c,0.0025,0.0000,0.0222,98.80
1.0,-0.1,ct,0.0049,0.0000,0.0446,98.60
1.0,0.0,n,0.2894,0.2804,0.1783,7.00
1.0,0.0,c,0.0043,0.0000,0.0356,97.90
1.0,0.0,ct,0.0064,0.0000,0.0512,97.90
1.0,0.1,n,0.2941,0.2810,0.1789,8.60
1.0,0.1,c,0.0028,0.0000,0.0252,98.60
1.0,0.1,ct,0.0056,0.0000,0.0418,97.60
1.0,0.5,n,0.2958,0.2800,0.1910,9.20
1.0,0.5,c,0.0054,0.0000,0.0374,97.60
1.0,0.5,ct,0.0109,0.0000,0.0612,96.00
1.0,0.9,n,0.5134,0.5129,0.1466,0.00
1.0,0.9,c,0.1409,0.0854,0.1546,37.60
1.0,0.9,ct,0.2287,0.1509,0.2246,25.40
5.0,-0.9,n,0.6115,0.6140,0.1031,0.00
5.0,-0.9,c,0.0023,0.0000,0.0293,99.10
5.0,-0.9,ct,0.0037,0.0000,0.0374,98.70
5.0,-0.5,n,0.6120,0.6159,0.1026,0.00
5.0,-0.5,c,0.0015,0.0000,0.0131,98.90
5.0,-0.5,ct,0.0043,0.0000,0.0315,97.60
5.0,-0.1,n,0.6052,0.6125,0.1046,0.00
5.0,-0.1,c,0.0032,0.0000,0.0235,98.20
5.0,-0.1,ct,0.0055,0.0000,0.0416,97.90
5.0,0.0,n,0.6062,0.6135,0.1063,0.00
5.0,0.0,c,0.0025,0.0000,0.0199,98.40
5.0,0.0,ct,0.0054,0.0000,0.0433,97.60
5.0,0.1,n,0.6149,0.6130,0.1049,0.00
5.0,0.1,c,0.0038,0.0000,0.0398,98.70
5.0,0.1,ct,0.0044,0.0000,0.0354,98.00
5.0,0.5,n,0.6106,0.6104,0.1062,0.00
5.0,0.5,c,0.0041,0.0000,0.0258,97.80
5.0,0.5,ct,0.0079,0.0000,0.0473,96.40
5.0,0.9,n,0.6432,0.6554,0.1310,0.00
5.0,0.9,c,0.1516,0.0874,0.1746,37.40
5.0,0.9,ct,0.2224,0.1478,0.2243,27.70
10.0,-0.9,n,0.6481,0.6512,0.0955,0.00
10.0,-0.9,c,0.0031,0.0000,0.0294,98.60
10.0,-0.9,ct,0.0058,0.0000,0.0466,97.80
10.0,-0.5,n,0.6440,0.6444,0.0922,0.00
10.0,-0.5,c,0.0020,0.0000,0.0219,99.10
10.0,-0.5,ct,0.0024,0.0000,0.0255,99.00
10.0,-0.1,n,0.6492,0.6535,0.0963,0.00
10.0,-0.1,c,0.0022,0.0000,0.0218,99.10
10.0,-0.1,ct,0.0043,0.0000,0.0377,98.10
10.0,0.0,n,0.6443,0.6448,0.0997,0.00
10.0,0.0,c,0.0033,0.0000,0.0335,98.80
10.0,0.0,ct,0.0058,0.0000,0.0497,98.10
10.0,0.1,n,0.6443,0.6458,0.0974,0.00
10.0,0.1,c,0.0052,0.0000,0.0410,98.00
10.0,0.1,ct,0.0076,0.0000,0.0539,97.10
10.0,0.5,n,0.6411,0.6486,0.1055,0.00
10.0,0.5,c,0.0049,0.0000,0.0328,97.50
10.0,0.5,ct,0.0101,0.0000,0.0610,96.20
10.0,0.9,n,0.6575,0.6682,0.1261,0.00
10.0,0.9,c,0.1513,0.0949,0.1648,35.10
10.0,0.9,ct,0.2341,0.1633,0.2230,24.60
